data1  ,valor
  01/2017 , 46775
   02/2017 , 48574
   03/2017 , 47023
   04/2017  ,46387
   05/2017 , 46554
   06/2017 , 46121
   07/2017  ,46241
   08/2017  ,46424
   09/2017 , 46583
   10/2017 , 47053
  11/2017 , 47352
  12/2017 , 44189
  01/2018 , 47973
  02/2018  ,49934
  03/2018 , 48167
  04/2018  ,47969
  05/2018 , 47936
  06/2018  ,47928
  07/2018 , 47973
  08/2018 , 48058
  09/2018 , 48176
  10/2018 , 48285
  11/2018 , 48759
  12/2018 , 45227
  01/2019 , 49064
  02/2019 , 49905
  03/2019 , 47209
  04/2019 , 46175
  05/2019 , 45318
  06/2019 , 44407
  07/2019 , 43889
  08/2019 , 43072
  09/2019 , 42281
  10/2019 , 41522
  11/2019 , 40913
  12/2019 , 37768
  01/2020 , 40558
  02/2020  ,41520
  03/2020  ,37598
  04/2020 , 36836
  05/2020 , 36478
  06/2020 , 36021
  07/2020 , 35651
  08/2020,  35472

