data1 , valor
  01/2017,    656
   02/2017,    658
   03/2017,    670
   04/2017,    664
   05/2017,    664
   06/2017,    656
   07/2017,    663
   08/2017,    654
   09/2017,    652
   10/2017,    670
  11/2017 ,   682
  12/2017 ,   684
  01/2018 ,   668
  02/2018 ,   681
  03/2018 ,   674
  04/2018 ,   662
  05/2018  ,  677
  06/2018  ,  673
  07/2018  ,  673
  08/2018  ,  672
  09/2018  ,  669
  10/2018 ,   677
  11/2018 ,   675
  12/2018 ,   666
  01/2019 ,   646
  02/2019 ,   666
  03/2019 ,   663
  04/2019 ,   659
  05/2019 ,   668
  06/2019 ,   666
  07/2019 ,   662
  08/2019 ,   687
  09/2019 ,   704
  10/2019 ,   693
  11/2019 ,   693
  12/2019 ,   696
  01/2020 ,   690
  02/2020 ,   698
 03/2020  ,  684
 04/2020  ,  679
 05/2020  ,  674
06/2020   , 671
07/2020   , 668
08/2020,    667

